date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:47:59	1729/1729	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Aug%202020%2008:48:00%20GMT	http://mypaddiapp.com/robots.txt		(from )
09:48:05	15233/15233	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Aug%202020%2008:48:01%20GMT	http://mypaddiapp.com/	C:/Users/Made/Videos/kyel/Altion%20Security/mypaddiapp.com/index.html	(from )
09:48:06	5430/5430	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Wed,%2015%20Jul%202020%2002:08:01%20GMT	http://mypaddiapp.com/assets/images/favicon.ico	C:/Users/Made/Videos/kyel/Altion%20Security/mypaddiapp.com/assets/images/favicon.ico	(from http://mypaddiapp.com/)
09:48:07	19835/19835	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2002:08:01%20GMT	http://mypaddiapp.com/assets/css/bootstrap-theme.min.css	C:/Users/Made/Videos/kyel/Altion%20Security/mypaddiapp.com/assets/css/bootstrap-theme.min.css	(from http://mypaddiapp.com/)
09:48:09	113498/113498	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2002:08:01%20GMT	http://mypaddiapp.com/assets/css/bootstrap.min.css	C:/Users/Made/Videos/kyel/Altion%20Security/mypaddiapp.com/assets/css/bootstrap.min.css	(from http://mypaddiapp.com/)
09:48:09	10585/10585	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2002:08:01%20GMT	http://mypaddiapp.com/assets/css/home.css	C:/Users/Made/Videos/kyel/Altion%20Security/mypaddiapp.com/assets/css/home.css	(from http://mypaddiapp.com/)
09:48:10	3853/3853	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Jul%202020%2002:08:01%20GMT	http://mypaddiapp.com/assets/images/landing_page/mypaddi-logo.png	C:/Users/Made/Videos/kyel/Altion%20Security/mypaddiapp.com/assets/images/landing_page/mypaddi-logo.png	(from http://mypaddiapp.com/)
09:48:11	12240/12240	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Jul%202020%2002:08:01%20GMT	http://mypaddiapp.com/assets/images/landing_page/dubai-expo.png	C:/Users/Made/Videos/kyel/Altion%20Security/mypaddiapp.com/assets/images/landing_page/dubai-expo.png	(from http://mypaddiapp.com/)
09:48:11	3823/3823	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Jul%202020%2002:08:01%20GMT	http://mypaddiapp.com/assets/images/landing_page/african-development-foundation-logo.png	C:/Users/Made/Videos/kyel/Altion%20Security/mypaddiapp.com/assets/images/landing_page/african-development-foundation-logo.png	(from http://mypaddiapp.com/)
09:48:14	2205/2205	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Jul%202020%2002:08:01%20GMT	http://mypaddiapp.com/assets/images/landing_page/amplifychange-logo.png	C:/Users/Made/Videos/kyel/Altion%20Security/mypaddiapp.com/assets/images/landing_page/amplifychange-logo.png	(from http://mypaddiapp.com/)
